window_id,rows,attack_type,raw_matched_attack_type,avg_match_score,strategy_id,model_type,adjustment_triggered,detection_success,defense_success,reward,actions
0,200,BENIGN,SSH-Patator,0.5903265388217117,s_benign_monitor,monitor,True,True,True,0.58,"[{'action_type': 'monitor_only', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_benign_monitor"", ""action"": {""type"": ""monitor_only"", ""scope"": ""baseline_window""}, ""context"": {""window_id"": 0, ""attack_type"": ""BENIGN"", ""raw_matched_attack_type"": ""SSH-Patator"", ""avg_match_score"": 0.5903265388217117, ""attack_present_by_label"": false, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.269652'}, {'action_type': 'log_enrich', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_benign_monitor"", ""action"": {""type"": ""log_enrich"", ""fields"": [""window_summary""]}, ""context"": {""window_id"": 0, ""attack_type"": ""BENIGN"", ""raw_matched_attack_type"": ""SSH-Patator"", ""avg_match_score"": 0.5903265388217117, ""attack_present_by_label"": false, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.269680'}]"
1,200,BENIGN,SSH-Patator,0.5596862415769576,s_benign_monitor,monitor,False,True,True,0.58,[]
2,200,DDoS,DDoS,0.7485492351080681,s_ddos_vote_rate_limit,ensemble,True,True,True,1.4985492351080683,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""switch_model"", ""target_model"": ""ensemble_lstm_ar_subspace""}, ""context"": {""window_id"": 2, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7485492351080681, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.310752'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""flow_rate"", ""value"": 0.85}, ""context"": {""window_id"": 2, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7485492351080681, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.310768'}, {'action_type': 'rate_limit', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""rate_limit"", ""scope"": ""suspicious_src"", ""value"": ""20mbit""}, ""context"": {""window_id"": 2, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7485492351080681, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.310775'}]"
3,200,DDoS,DDoS,0.7622979823294221,s_ddos_vote_rate_limit,ensemble,True,True,True,1.512297982329422,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""switch_model"", ""target_model"": ""ensemble_lstm_ar_subspace""}, ""context"": {""window_id"": 3, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7622979823294221, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.330623'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""flow_rate"", ""value"": 0.85}, ""context"": {""window_id"": 3, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7622979823294221, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.330643'}, {'action_type': 'rate_limit', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_ddos_vote_rate_limit"", ""action"": {""type"": ""rate_limit"", ""scope"": ""suspicious_src"", ""value"": ""20mbit""}, ""context"": {""window_id"": 3, ""attack_type"": ""DDoS"", ""raw_matched_attack_type"": ""DDoS"", ""avg_match_score"": 0.7622979823294221, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.330651'}]"
4,200,PortScan,PortScan,0.8536849273496212,s_portscan_isolate,hybrid,True,True,True,1.6736849273496213,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""switch_model"", ""target_model"": ""subspace_detector""}, ""context"": {""window_id"": 4, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8536849273496212, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.350439'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src_dst""}, ""context"": {""window_id"": 4, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8536849273496212, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.350460'}, {'action_type': 'log_enrich', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""log_enrich"", ""fields"": [""src_ip"", ""dst_ip"", ""dst_port"", ""flow_duration""]}, ""context"": {""window_id"": 4, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8536849273496212, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.350468'}]"
5,200,PortScan,PortScan,0.8468577522995286,s_portscan_isolate,hybrid,True,True,True,1.6668577522995287,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""switch_model"", ""target_model"": ""subspace_detector""}, ""context"": {""window_id"": 5, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8468577522995286, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.371129'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src_dst""}, ""context"": {""window_id"": 5, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8468577522995286, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.371148'}, {'action_type': 'log_enrich', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_portscan_isolate"", ""action"": {""type"": ""log_enrich"", ""fields"": [""src_ip"", ""dst_ip"", ""dst_port"", ""flow_duration""]}, ""context"": {""window_id"": 5, ""attack_type"": ""PortScan"", ""raw_matched_attack_type"": ""PortScan"", ""avg_match_score"": 0.8468577522995286, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.371157'}]"
6,200,FTP-Patator,FTP-Patator,0.9002898169131806,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7502898169131806,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""switch_model"", ""target_model"": ""lstm_sequence_detector""}, ""context"": {""window_id"": 6, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.9002898169131806, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.391248'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""failed_login_rate"", ""value"": 0.75}, ""context"": {""window_id"": 6, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.9002898169131806, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.391274'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src""}, ""context"": {""window_id"": 6, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.9002898169131806, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.391286'}]"
7,200,SSH-Patator,SSH-Patator,0.904360439077917,s_bruteforce_ssh_ftp,sequence,True,True,True,1.754360439077917,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""switch_model"", ""target_model"": ""lstm_sequence_detector""}, ""context"": {""window_id"": 7, ""attack_type"": ""SSH-Patator"", ""raw_matched_attack_type"": ""SSH-Patator"", ""avg_match_score"": 0.904360439077917, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.410293'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""failed_login_rate"", ""value"": 0.75}, ""context"": {""window_id"": 7, ""attack_type"": ""SSH-Patator"", ""raw_matched_attack_type"": ""SSH-Patator"", ""avg_match_score"": 0.904360439077917, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.410313'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src""}, ""context"": {""window_id"": 7, ""attack_type"": ""SSH-Patator"", ""raw_matched_attack_type"": ""SSH-Patator"", ""avg_match_score"": 0.904360439077917, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.410320'}]"
8,200,FTP-Patator,FTP-Patator,0.891896422217786,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7418964222177862,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""switch_model"", ""target_model"": ""lstm_sequence_detector""}, ""context"": {""window_id"": 8, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.891896422217786, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.431199'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""failed_login_rate"", ""value"": 0.75}, ""context"": {""window_id"": 8, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.891896422217786, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.431215'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src""}, ""context"": {""window_id"": 8, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.891896422217786, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.431230'}]"
9,200,FTP-Patator,FTP-Patator,0.8674202197430341,s_bruteforce_ssh_ftp,sequence,True,True,True,1.7174202197430342,"[{'action_type': 'switch_model', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""switch_model"", ""target_model"": ""lstm_sequence_detector""}, ""context"": {""window_id"": 9, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.8674202197430341, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.451522'}, {'action_type': 'raise_threshold', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""raise_threshold"", ""metric"": ""failed_login_rate"", ""value"": 0.75}, ""context"": {""window_id"": 9, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.8674202197430341, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.451543'}, {'action_type': 'isolate_flow', 'status': 'DRY_RUN', 'detail': '{""strategy_id"": ""s_bruteforce_ssh_ftp"", ""action"": {""type"": ""isolate_flow"", ""scope"": ""suspicious_src""}, ""context"": {""window_id"": 9, ""attack_type"": ""FTP-Patator"", ""raw_matched_attack_type"": ""FTP-Patator"", ""avg_match_score"": 0.8674202197430341, ""attack_present_by_label"": true, ""rows"": 200}}', 'timestamp': '2026-05-21T08:00:19.451557'}]"
